2024-08-27 17:16:20 UTC | TRACE | INFO | (pkg/util/log/log.go:826 in func1) | Starting to load the configuration
2024-08-27 17:16:44 UTC | TRACE | DEBUG | (comp/core/workloadmeta/collectors/internal/containerd/container_builder.go:91 in buildWorkloadMetaContainer) | cannot get IP of container no running task found: task a625053bc238326472b37efa5e343b0b0743dbd5358340a904cde9ab4e83c2ea not found: not found
2024-08-27 17:16:45 UTC | TRACE | DEBUG | (pkg/util/kubernetes/kubelet/podwatcher.go:146 in computeChanges) | Found 0 changed pods out of 9
2024-08-27 17:16:50 UTC | TRACE | DEBUG | (pkg/util/kubernetes/kubelet/podwatcher.go:146 in computeChanges) | Found 1 changed pods out of 8
2024-08-27 17:16:50 UTC | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:299 in flushNow) | Update oldestTs to 1724779000000000000
2024-08-27 17:16:53 UTC | TRACE | DEBUG | (pkg/util/clusteragent/clusteragent.go:114 in GetClusterAgentClient) | Cluster Agent init error: temporary failure in clusterAgentClient, will retry later: try delay not elapsed yet
2024-08-27 17:16:53 UTC | TRACE | ERROR | (comp/core/workloadmeta/collectors/internal/kubemetadata/kubemetadata.go:88 in Start) | Could not initialise the communication with the cluster agent: temporary failure in clusterAgentClient, will retry later: try delay not elapsed yet
2024-08-27 17:16:53 UTC | TRACE | DEBUG | (comp/core/workloadmeta/store.go:545 in func1) | workloadmeta collector "kube_metadata" could not start, but will retry. error: temporary failure in clusterAgentClient, will retry later: try delay not elapsed yet
2024-08-27 17:16:55 UTC | TRACE | DEBUG | (pkg/util/kubernetes/kubelet/podwatcher.go:146 in computeChanges) | Found 0 changed pods out of 8
2024-08-27 17:17:00 UTC | TRACE | DEBUG | (pkg/util/kubernetes/kubelet/podwatcher.go:146 in computeChanges) | Found 0 changed pods out of 8
2024-08-27 17:17:00 UTC | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:299 in flushNow) | Update oldestTs to 1724779010000000000
2024-08-27 17:17:05 UTC | TRACE | DEBUG | (pkg/util/kubernetes/kubelet/podwatcher.go:146 in computeChanges) | Found 0 changed pods out of 8
2024-08-27 17:17:10 UTC | TRACE | DEBUG | (pkg/util/kubernetes/kubelet/podwatcher.go:146 in computeChanges) | Found 0 changed pods out of 8
2024-08-27 17:17:10 UTC | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:299 in flushNow) | Update oldestTs to 1724779020000000000
2024-08-27 17:17:12 UTC | TRACE | DEBUG | (pkg/util/clusteragent/clusteragent.go:253 in GetClusterAgentEndpoint) | Identified service for the Datadog Cluster Agent: kind-datadog-cluster-agent
2024-08-27 17:17:12 UTC | TRACE | INFO | (pkg/api/security/security.go:194 in getClusterAgentAuthToken) | Using configured cluster_agent.auth_token
2024-08-27 17:17:12 UTC | TRACE | INFO | (pkg/util/clusteragent/clusteragent.go:145 in init) | Successfully connected to the Datadog Cluster Agent 7.55.2+commit.be4db09
2024-08-27 17:17:12 UTC | TRACE | INFO | (comp/core/workloadmeta/store.go:545 in func1) | workloadmeta collector "kube_metadata" started successfully
2024-08-27 17:17:15 UTC | TRACE | DEBUG | (pkg/util/kubernetes/kubelet/podwatcher.go:146 in computeChanges) | Found 0 changed pods out of 8
2024-08-27 17:17:20 UTC | TRACE | DEBUG | (pkg/util/kubernetes/kubelet/podwatcher.go:146 in computeChanges) | Found 0 changed pods out of 8
2024-08-27 17:17:20 UTC | TRACE | DEBUG | (pkg/trace/stats/concentrator.go:299 in flushNow) | Update oldestTs to 1724779030000000000
2024-08-27 17:17:25 UTC | TRACE | DEBUG | (pkg/util/kubernetes/kubelet/podwatcher.go:146 in computeChanges) | Found 0 changed pods out of 8
2024-08-27 17:17:25 UTC | TRACE | INFO | (pkg/trace/info/stats.go:91 in LogAndResetStats) | No data received
